condominio,quartos,suites,vagas,area,bairro,preco,pm2
350,1,0.0,1.0,21,Botafogo,340000,16190.48
800,1,0.0,1.0,64,Botafogo,770000,12031.25
674,1,0.0,1.0,61,Botafogo,600000,9836.07
700,1,1.0,1.0,70,Botafogo,700000,10000.0
440,1,0.0,1.0,44,Botafogo,515000,11704.55
917,1,1.0,1.0,60,Botafogo,630000,10500.0
850,1,1.0,1.0,65,Botafogo,740000,11384.62
350,1,1.0,1.0,43,Botafogo,570000,13255.81
440,1,1.0,1.0,26,Botafogo,430000,16538.46
510,1,1.0,1.0,42,Botafogo,500000,11904.76
200,1,0.0,1.0,35,Botafogo,500000,14285.71
552,1,1.0,1.0,67,Botafogo,790000,11791.04
495,1,1.0,1.0,54,Botafogo,515000,9537.04
340,1,1.0,1.0,40,Botafogo,410000,10250.0
800,1,1.0,1.0,60,Botafogo,625000,10416.67
530,1,0.0,1.0,40,Botafogo,360000,9000.0
500,1,0.0,1.0,47,Botafogo,670000,14255.32
600,1,1.0,1.0,45,Botafogo,500000,11111.11
465,1,0.0,1.0,50,Botafogo,570000,11400.0
1400,1,1.0,1.0,50,Botafogo,570000,11400.0
700,1,1.0,1.0,58,Botafogo,630000,10862.07
250,1,0.0,1.0,40,Botafogo,400000,10000.0
1000,1,1.0,1.0,54,Botafogo,750000,13888.89
280,1,0.0,1.0,65,Botafogo,578000,8892.31
481,1,1.0,1.0,28,Botafogo,350000,12500.0
150,1,0.0,1.0,40,Botafogo,130000,3250.0
1071,1,1.0,1.0,44,Botafogo,597000,13568.18
750,2,1.0,1.0,70,Botafogo,995000,14214.29
992,2,1.0,1.0,105,Botafogo,1150000,10952.38
990,2,1.0,1.0,100,Botafogo,1200000,12000.0
960,2,1.0,1.0,80,Botafogo,980000,12250.0
1200,2,1.0,2.0,68,Botafogo,950000,13970.59
1100,2,2.0,2.0,80,Botafogo,1080000,13500.0
1170,2,1.0,1.0,80,Botafogo,815000,10187.5
1100,2,1.0,1.0,72,Botafogo,930000,12916.6
519,2,1.0,1.0,58,Botafogo,750000,12931.03
750,2,1.0,1.0,86,Botafogo,720000,8372.09
905,2,1.0,1.0,85,Botafogo,1100000,12941.18
600,2,1.0,1.0,70,Botafogo,720000,10285.71
760,2,1.0,1.0,76,Botafogo,890000,11710.53
